device_id,gender_id
B-52-23845,2
B-52-16587,1
B-52-36461,2
B-52-29089,2
B-52-14212,2
B-52-30970,1
B-52-15903,2
B-52-12407,2
B-52-22743,1
B-52-18658,1
B-52-11191,2
B-52-16017,2
B-52-35112,1
B-52-1957,2
B-52-18867,1
B-52-2964,1
B-52-14117,2
B-52-36404,2
B-52-8322,1
B-52-42389,2
B-52-32414,2
B-52-12521,2
B-52-10488,1
B-52-51699,1
B-52-17955,1
B-52-10298,1
B-52-6821,2
B-52-21375,1
B-52-22116,2
B-52-14649,2
B-52-2527,2
B-52-25384,2
B-52-35473,1
B-52-51547,1
B-52-9633,2
B-52-33326,1
B-52-22401,1
B-52-51528,1
B-52-12673,2
B-52-9063,2
B-52-48241,1
B-52-22287,
B-52-8911,1
B-52-43282,1
B-52-32566,2
B-52-29070,2
B-52-893,2
B-52-23085,2
B-52-418,1
B-52-5073,2
B-52-22477,2
B-52-9082,2
B-52-13509,1
B-52-21945,2
B-52-22629,1
B-52-24149,2
B-52-18145,2
B-52-21546,2
B-52-49020,2
B-52-39976,2
B-52-1615,1
B-52-14725,1
B-52-5054,1
B-52-27816,2
B-52-14972,2
B-52-10450,2
B-52-29887,1
B-52-31236,1
B-52-15599,1
B-52-44346,2
B-52-16397,2
B-52-44650,1
B-52-3762,1
B-52-28462,
B-52-1577,1
B-52-3249,1
B-52-11856,2
B-52-1045,1
B-52-6992,2
B-52-31293,2
B-52-5434,2
B-52-21033,1
B-52-39216,2
B-52-11514,1
B-52-43434,2
B-52-46398,2
B-52-48127,1
B-52-2318,1
B-52-47557,2
B-52-42522,1
B-52-30343,1
B-52-29374,2
B-52-8398,1
B-52-33858,2
B-52-10830,1
B-52-45828,2
B-52-14744,1
B-52-31692,1
B-52-30495,1
B-52-19513,2
B-52-32433,2
B-52-48260,
B-52-3686,1
B-52-37050,2
B-52-15352,1
B-52-35036,2
B-52-50749,2
B-52-31084,1
B-52-15770,1
B-52-39330,1
B-52-16321,1
B-52-33212,2
B-52-39311,1
B-52-38608,2
B-52-49970,1
B-52-13737,2
B-52-36214,2
B-52-49951,2
B-52-31977,2
B-52-2736,2
B-52-43168,2
B-52-34656,2
B-52-45790,1
B-52-29735,1
B-52-28443,2
B-52-27170,2
B-52-10773,2
B-52-45049,1
B-52-41116,1
B-52-3610,2
B-52-36974,1
B-52-39444,2
B-52-28367,2
B-52-5643,1
B-52-28063,2
B-52-47348,1
B-52-15276,2
B-52-6289,1
B-52-42655,2
B-52-41705,2
B-52-50293,1
B-52-2945,1
B-52-10279,2
B-52-30153,1
B-52-20691,1
B-52-2109,1
B-52-26334,2
B-52-26201,2
B-52-40907,
B-52-27322,2
B-52-19114,1
B-52-12103,1
B-52-6555,2
B-52-49419,1
B-52-4085,2
B-52-12578,2
B-52-15713,2
B-52-44745,1
B-52-32490,1
B-52-51851,1
B-52-47861,2
B-52-42902,2
B-52-4066,2
B-52-35549,1
B-52-37468,1
B-52-4655,2
B-52-10317,2
B-52-9291,2
B-52-50122,1
B-52-5757,1
B-52-3496,2
B-52-19893,2
B-52-25118,2
B-52-30609,2
B-52-8379,2
B-52-39463,2
B-52-32737,2
B-52-13186,1
B-52-51870,2
B-52-51984,1
B-52-27531,2
B-52-24282,1
B-52-51832,1
B-52-19399,2
B-52-36879,2
B-52-7828,1
B-52-7068,2
B-52-9785,2
B-52-30020,2
B-52-12882,1
B-52-5339,1
B-52-7353,2
B-52-29716,2
B-52-24396,2
B-52-39501,2
B-52-2204,1
B-52-48450,2
B-52-26049,2
B-52-12787,1
B-52-17442,2
B-52-1235,1
B-52-19076,2
B-52-7182,2
B-52-38418,2
B-52-38095,2
B-52-19,
B-52-4769,2
B-52-39178,1
B-52-26695,2
B-52-41914,2
B-52-11248,2
B-52-5529,2
B-52-26543,2
B-52-22306,1
B-52-50958,2
B-52-34162,1
B-52-32452,2
B-52-31806,2
B-52-28234,1
B-52-1254,2
B-52-17670,1
B-52-30229,2
B-52-38057,1
B-52-1900,1
B-52-21603,2
B-52-46626,2
B-52-13528,2
B-52-6042,2
B-52-2185,2
B-52-22686,1
B-52-26391,
B-52-52041,1
B-52-17974,2
B-52-8968,1
B-52-12996,2
B-52-7239,2
B-52-21052,2
B-52-36119,2
B-52-44973,1
B-52-11799,1
B-52-14174,2
B-52-2983,1
B-52-29184,2
B-52-15086,1
B-52-4731,1
B-52-6631,2
B-52-37905,1
B-52-45619,2
B-52-52117,2
B-52-47595,2
B-52-19722,1
B-52-37316,2
B-52-31559,2
B-52-14155,2
B-52-15200,2
B-52-16625,2
B-52-34618,2
B-52-18544,1
B-52-15447,2
B-52-10925,2
B-52-7144,2
B-52-10146,1
B-52-1406,2
B-52-24130,1
B-52-4446,2
B-52-6802,2
B-52-30666,
B-52-12768,1
B-52-37107,2
B-52-41040,1
B-52-9101,1
B-52-20805,2
B-52-7581,2
B-52-45562,2
B-52-40147,2
B-52-40014,1
B-52-14592,2
B-52-48773,1
B-52-15257,1
B-52-7334,2
B-52-44517,2
B-52-26752,1
B-52-36632,2
B-52-34447,
B-52-26296,2
B-52-7771,2
B-52-17176,2
B-52-18411,2
B-52-8303,2
B-52-5985,2
B-52-722,1
B-52-42104,2
B-52-29963,2
B-52-33022,2
B-52-21223,2
B-52-2907,2
B-52-15314,2
B-52-23598,1
B-52-57,1
B-52-4902,1
B-52-31255,1
B-52-11932,2
B-52-16112,2
B-52-49438,2
B-52-1292,2
B-52-5833,1
B-52-20235,2
B-52-9766,2
B-52-152,1
B-52-37848,2
B-52-50483,1
