,app_name,count,min,mean,Quartile1,median,Quartile3,std,max
0,Amazon Mobile (Mobile App),93,0.18899999999999997,172.99556129032257,2.835,8.0514,17.9928,678.7681818548147,5009.7096
1,Amazon Music with Prime Music (Mobile App),19,0.0756,87.23842105263158,0.3213,1.5876,4.5738,219.24493563046883,746.5878
2,Facebook (Mobile App),61,0.18899999999999997,8425.918062295083,6595.1928,7855.3314,9610.5744,4141.961768713242,25093.908
3,Facebook Messenger (Mobile App),79,0.0756,5284.011759493672,4073.4413999999997,5272.9866,7559.4141,3884.7712206183965,19644.471
4,Google Play (Mobile App),163,0.1512,167.02266257668717,10.1493,18.9756,292.38300000000004,329.92824924998206,2131.6554
5,Google Search (Mobile App),128,0.0756,1099.3341515625,1.7388,10.376100000000001,21.404249999999998,5095.608091393859,50897.4354
6,GroupMe (Mobile App),7,1.7388,254.66940000000002,14.590800000000002,370.0242,431.5815,233.71971265231355,518.5782
7,Instagram (Mobile App),89,0.2646,1217.6866516853931,4.5738,16.065,1938.2706,2318.5449804173827,11940.7554
8,Kindle (Mobile App),16,0.1134,337.2823125,1.31355,3.3264,21.1113,859.598361546132,3243.7314
9,Microsoft Word (Mobile App),19,0.2268,45.95087368421052,1.6631999999999998,13.6836,19.5993,81.23651344625246,298.9224
10,Netflix (Mobile App),47,0.18899999999999997,796.8215872340426,2.5326,7.56,20.4687,2399.562786470074,11115.9594
11,Outlook (Mobile App),15,0.1512,237.40164000000001,13.059899999999999,281.1564,388.0359,247.81196246651209,777.924
12,Pinterest (Mobile App),49,0.0756,455.3511428571428,2.1924,8.505,25.3638,953.7845958205186,4495.7808
13,Sam's Club (Mobile App),3,7.8246,31.0086,17.4636,27.1026,42.6006,25.363584052731976,58.0986
14,Sam's Club Scan & Go (Mobile App),1,0.0378,0.0378,0.0378,0.0378,0.0378,,0.0378
15,Snapchat (Mobile App),47,0.0756,1540.7191531914893,5.481,22.7178,2696.1417,2026.7475022839603,6759.6228
16,Tumblr (Mobile App),16,0.1134,893.653425,5.7078,19.9206,1700.7354,1158.7248514108646,3711.7709999999997
17,Walmart (Mobile App),44,0.0378,73.35519545454545,4.6116,15.9516,143.16750000000002,104.39215020961565,410.4702
18,Yahoo Mail (Mobile App),29,0.1512,485.1486620689655,2.9106,18.7488,900.6606,862.161023466366,4023.1674
19,Yahoo Newsroom (Mobile App),6,3.7044,80.4384,6.227550000000001,13.23,15.668099999999999,172.3508913351364,432.0918
20,YouTube (Mobile App),113,0.3402,2174.606904424779,6.6528,16.7832,4003.1712,3750.646287929823,18688.509
